2022/10/28 16:17:43 Hello world!
2022/10/28 16:17:43 
2022/10/28 16:17:43 
2022/10/28 16:17:43 
2022/10/28 16:17:43 ---------main---------
2022/10/28 16:17:43 command: extract-prem-all
2022/10/28 16:17:43 [Extract] --------------------------------------------------------------------------------------------------------------------------------
2022/10/28 16:17:43 Global Config: &{Twitter:{ClientKey:iMKZwLkSRmadpYBJY1a2M84mr Bearer:AAAAAAAAAAAAAAAAAAAAAPObhAEAAAAAAI%2BtMFORmxN86Tl0ajnF3DtHbWQ%3DmtEmLQqoN26iCHsTdaHJiKbKXWkHT6x4CL52fzz7GYfzzYTvp5 ClientSecret:7p2aI9M4yGohN9k3mM1HHqRARoo6GcnK70QSF8AM74cUSh7cr4 DevEnvironment:env1} Now:2022-10-28 16:17:43.618976 +0800 +08 m=+0.054145915 DB:{DBFileName:data/fullproj.db}} 
2022/10/28 16:17:43 [NewDBCN_Twitt] Will try access existing db.
2022/10/28 16:17:43 Creating Tweets table...
2022/10/28 16:17:43 Tweets table created
2022/10/28 16:17:43 [GetAndStore] ---------------- 
2022/10/28 16:17:43 [GetAndStore] [-1](Infinite request cycles) 
2022/10/28 16:17:43 [GetAndStore] Environment: env1 Request Count: -1 Endpoint: fullarchive 
2022/10/28 16:17:43 [GetAndStore] RemainingRequest[-1/-1] Searching in 2 secs... 
2022/10/28 16:17:45 [cT.twitterSearch1_1]
2022/10/28 16:17:45 https://api.twitter.com/1.1/tweets/search/fullarchive/env1.json
2022/10/28 16:17:45 [cT.twitterSearch1_1] Query: "jb checkpoint OR jb causeway OR jb customs OR woodlands checkpoint OR woodlands causeway OR woodlands customs OR johor checkpoint OR johor causeway OR johor customs" 
2022/10/28 16:17:45 [cT.twitterSearch1_1] Raw Query : query=jb+checkpoint+OR+jb+causeway+OR+jb+customs+OR+woodlands+checkpoint+OR+woodlands+causeway+OR+woodlands+customs+OR+johor+checkpoint+OR+johor+causeway+OR+johor+customs 
2022/10/28 16:17:45 [cT.twitterSearch1_1] Attempt to do client req. ptr to req: 0xc0000a8038 
2022/10/28 16:17:46 [[cT.twitterSearch1_1]] Status: 200 
2022/10/28 16:17:46 Needful Data JSON-Writing to: ./data/twitterSearch1_1-202210010000-202210252359-.json
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-26 00:46:56 +0800 +08 ID: 1584949641149558784 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-26 00:40:50 +0800 +08 ID: 1584948106910904322 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-26 00:40:02 +0800 +08 ID: 1584947904644382725 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-26 00:38:55 +0800 +08 ID: 1584947624041250819 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 14:18:41 +0800 +08 ID: 1584791537392975874 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 13:36:42 +0800 +08 ID: 1584780974243864576 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 12:24:59 +0800 +08 ID: 1584762925725921280 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 12:22:06 +0800 +08 ID: 1584762199825948672 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 12:06:36 +0800 +08 ID: 1584758298041290752 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 11:44:08 +0800 +08 ID: 1584752645440688129 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 06:16:46 +0800 +08 ID: 1584670260938305537 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-25 00:10:00 +0800 +08 ID: 1584577959704289280 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-24 22:09:52 +0800 +08 ID: 1584547727026757632 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-24 15:56:13 +0800 +08 ID: 1584453696183668736 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 19:53:11 +0800 +08 ID: 1584150944001900544 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 12:58:32 +0800 +08 ID: 1584046590859563008 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 08:59:08 +0800 +08 ID: 1583986345566838786 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 08:56:34 +0800 +08 ID: 1583985697819459584 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 08:13:21 +0800 +08 ID: 1583974822337425408 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 06:20:31 +0800 +08 ID: 1583946429227102208 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 03:09:39 +0800 +08 ID: 1583898396565602304 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 02:39:03 +0800 +08 ID: 1583890694204456960 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 02:03:19 +0800 +08 ID: 1583881700030918656 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-23 01:04:34 +0800 +08 ID: 1583866917709746176 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 23:08:51 +0800 +08 ID: 1583837795939799040 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 22:53:59 +0800 +08 ID: 1583834055212404736 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 22:36:20 +0800 +08 ID: 1583829614837006336 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 22:15:02 +0800 +08 ID: 1583824254499717120 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:47:38 +0800 +08 ID: 1583817355892621312 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:37:53 +0800 +08 ID: 1583814905089908737 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:37:30 +0800 +08 ID: 1583814804971884544 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:35:10 +0800 +08 ID: 1583814221254385664 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:33:56 +0800 +08 ID: 1583813909294686208 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:32:29 +0800 +08 ID: 1583813545552408579 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:32:18 +0800 +08 ID: 1583813499905376263 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:31:44 +0800 +08 ID: 1583813356804509698 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:30:47 +0800 +08 ID: 1583813116294725634 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 21:30:18 +0800 +08 ID: 1583812995892662272 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 16:29:02 +0800 +08 ID: 1583737176747315200 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 16:21:55 +0800 +08 ID: 1583735387075203072 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 14:44:32 +0800 +08 ID: 1583710879010287616 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 07:27:31 +0800 +08 ID: 1583600903155699713 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 00:09:45 +0800 +08 ID: 1583490735504252928 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-22 00:09:31 +0800 +08 ID: 1583490677195042816 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 22:41:32 +0800 +08 ID: 1583468533597732864 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 21:29:49 +0800 +08 ID: 1583450484794277893 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 20:42:32 +0800 +08 ID: 1583438585218621443 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 17:46:17 +0800 +08 ID: 1583394231325888512 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 16:01:32 +0800 +08 ID: 1583367869756153856 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 12:31:11 +0800 +08 ID: 1583314933910974464 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 12:31:02 +0800 +08 ID: 1583314896581963776 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-21 08:38:53 +0800 +08 ID: 1583256473873752066 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-20 21:45:11 +0800 +08 ID: 1583091963326509062 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-20 15:19:42 +0800 +08 ID: 1582994955932381184 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-20 14:51:25 +0800 +08 ID: 1582987837708062721 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 23:15:18 +0800 +08 ID: 1582752256025276417 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 23:15:15 +0800 +08 ID: 1582752244235001856 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 19:39:56 +0800 +08 ID: 1582698055001812995 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 19:18:29 +0800 +08 ID: 1582692659944210432 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 19:18:27 +0800 +08 ID: 1582692651102572546 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 18:53:44 +0800 +08 ID: 1582686429884579840 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 18:49:39 +0800 +08 ID: 1582685400887611392 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 16:01:16 +0800 +08 ID: 1582643027012616199 
2022/10/28 16:17:46 [ResulttoTweetDB] Time: 2022-10-19 15:36:39 +0800 +08 ID: 1582636831728078850 
